restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Northwest Tea Restaurant,Nanchang,28.627636,115.907305,54.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Yingbin Avenue Jiangling Branch,"115.907234,28.627121",28.627121,115.907234,4.1
Budget Restaurant (Jiangling East First Road),Nanchang,28.625435,115.909702,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Home Inn · Neo - Nanchang Yingbin Avenue Jiangling Branch,"115.907234,28.627121",28.627121,115.907234,3.6
Fujian Cai · Ah Song Wellness Beef Restaurant (Xianghu Venice Garden Branch),Nanchang,28.630579,115.901176,100.0,Food Service Related;Food Service Related,11:00,21:00,Home Inn · Neo - Nanchang Yingbin Avenue Jiangling Branch,"115.907234,28.627121",28.627121,115.907234,4.2
Shangpin Steak Western Restaurant,Nanchang,28.579748,115.789593,100.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Pullman Nanchang Sunac Hotel,"115.795978,28.580284",28.580284,115.795978,3.7
Sunac Mercure Hotel - Western Restaurant,Nanchang,28.584206,115.788629,100.0,Food Service Related;Food Service Related,11:00,21:00,Pullman Nanchang Sunac Hotel,"115.795978,28.580284",28.580284,115.795978,3.7
China Railway 18th Bureau Restaurant (Wanda Cultural Tourism City K Zone Branch),Nanchang,28.565823,115.803189,100.0,公司企业;公司;公司,11:00,21:00,Pullman Nanchang Sunac Hotel,"115.795978,28.580284",28.580284,115.795978,3.6
Air China Interstellar Restaurant,Nanchang,28.655783,115.826237,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Jiangxi Qianhu Guesthouse,"115.807273,28.653157",28.653157,115.807273,3.9
Food Delight in Autumn,Nanchang,28.675702,115.914255,82.0,Chinese Restaurant;Chinese Restaurant,12:00,20:30,Orange Hotel Nanchang Bayi Square Provincial Art Museum,"115.913792,28.673445",28.673445,115.913792,4.6
Huang's Clay Pot Soup (East Plaza Road Branch),Nanchang,28.671392,115.909792,100.0,Chinese Restaurant;Chinese Restaurant,02:30,24:00,Orange Hotel Nanchang Bayi Square Provincial Art Museum,"115.913792,28.673445",28.673445,115.913792,4.7
Laosan Restaurant (Weidong Garden Phase II Zone 7 Branch),Nanchang,28.678075,115.844245,100.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Vienna Hotel (5.0 Nanchang Honggutan Wanda Branch),"115.842383,28.678757",28.678757,115.842383,4.0
Yachang Art Garden Tea Restaurant,Nanchang,28.682593,115.845199,268.0,Fast Food Restaurant;Tea Restaurant,10:00,23:00,Vienna Hotel (5.0 Nanchang Honggutan Wanda Branch),"115.842383,28.678757",28.678757,115.842383,4.2
People's Commune Canteen (Cuiyuan Road Branch),Nanchang,28.674279,115.844188,100.0,Chinese Restaurant;Chinese Restaurant,09:00,21:30,Vienna Hotel (5.0 Nanchang Honggutan Wanda Branch),"115.842383,28.678757",28.678757,115.842383,3.5
Sister Lan Restaurant,Nanchang,28.658186,115.889287,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Grace Select Hotel (Nanchang Tengwang Pavilion Bayi Square Branch),"115.888221,28.659588",28.659588,115.888221,3.8
Li Wangjiu Restaurant,Nanchang,28.658299,115.892086,100.0,Food Service Related;Food Service Related,11:00,21:00,Grace Select Hotel (Nanchang Tengwang Pavilion Bayi Square Branch),"115.888221,28.659588",28.659588,115.888221,3.8
Shihui Restaurant (Hongcheng Road Branch),Nanchang,28.655212,115.886039,100.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Grace Select Hotel (Nanchang Tengwang Pavilion Bayi Square Branch),"115.888221,28.659588",28.659588,115.888221,4.2
Peony Pavilion (Fish Soup Rice),Nanchang,28.575634,115.885676,54.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Nanchang Kamei Travel City International Hotel (Xianghu Nanchang Medical College Branch),"115.890116,28.577148",28.577148,115.890116,4.6
Lu Ming Cantonese Dim Sum (Nanchang County Xianghu Branch),Nanchang,28.574710,115.885639,29.0,Fast Food Restaurant;Tea Restaurant,11:00,21:00,Nanchang Kamei Travel City International Hotel (Xianghu Nanchang Medical College Branch),"115.890116,28.577148",28.577148,115.890116,4.3
Hong Kong-Style BBQ Fast Food Restaurant (Lakeside Town Commercial Street Branch),Nanchang,28.574341,115.884888,100.0,Food Service Related;Food Service Related,09:00,22:30,Nanchang Kamei Travel City International Hotel (Xianghu Nanchang Medical College Branch),"115.890116,28.577148",28.577148,115.890116,3.8
Huike Small Restaurant (Nanchang Residential Theme Park South Zone Branch),Nanchang,28.593833,115.886048,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanchang Tianmu Grand Hotel,"115.899631,28.602712",28.602712,115.899631,3.7
Jiangxin Restaurant,Nanchang,28.587744,115.907633,100.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Nanchang Tianmu Grand Hotel,"115.899631,28.602712",28.602712,115.899631,4.2
Oriental Grandview Garden Hotel - Yijing Revolving Restaurant,Nanchang,28.678026,115.886839,144.0,Foreign Restaurant;Western Restaurant,16:30,20:00,Lavande Hotel · Nanchang Tengwang Pavilion Wanshou Palace Metro Station Branch,"115.885196,28.676745",28.676745,115.885196,4.2
MIYA·Miyang Freedom Restaurant,Nanchang,28.678785,115.886451,60.0,Foreign Restaurant;Foreign Restaurant,10:00,21:00,Lavande Hotel · Nanchang Tengwang Pavilion Wanshou Palace Metro Station Branch,"115.885196,28.676745",28.676745,115.885196,4.4
Old Flavor Restaurant (Zhangjiang Road Branch),Nanchang,28.678848,115.883719,105.0,Chinese Restaurant;Chinese Restaurant,10:00,22:30,Lavande Hotel · Nanchang Tengwang Pavilion Wanshou Palace Metro Station Branch,"115.885196,28.676745",28.676745,115.885196,4.0
Xiao Liu Restaurant,Nanchang,28.673557,115.884538,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Lavande Hotel · Nanchang Tengwang Pavilion Wanshou Palace Metro Station Branch,"115.885196,28.676745",28.676745,115.885196,4.0
Little Dot Restaurant,Nanchang,28.668202,115.907276,100.0,Food Service Related;Food Service Related,11:00,21:00,Jinjiang Inn Nanchang Bayi Square Yongshu Road Metro Station Hotel,"115.903680,28.667162",28.667162,115.903680,4.0
Donghu District Vegetarian Delight Restaurant,Nanchang,28.683893,115.889614,27.0,Chinese Restaurant;中式素菜馆,17:30,20:00,Home Inn - Nanchang Tengwang Pavilion Bayi Uprising Memorial Hall Branch,"115.890588,28.683650",28.683650,115.890588,4.6
Ameigo Meiguo • Yungui Sichuan Bistro (Causeway Bay T16 Branch),Nanchang,28.700373,115.867503,91.0,Food Service Related;Food Service Related,11:00,21:30,Orange Hotel Nanchang Honggutan Times Square Hotel,"115.867000,28.699400",28.699400,115.867000,4.4
Zhu Guangyu Hot Pot Restaurant (Causeway Bay Plaza Branch),Nanchang,28.700295,115.867744,109.0,Chinese Restaurant;Hot Pot,11:00,22:00,Orange Hotel Nanchang Honggutan Times Square Hotel,"115.867000,28.699400",28.699400,115.867000,4.6
Jordan Tea Restaurant (Nanchang T16 Shopping Center Branch),Nanchang,28.700435,115.867547,82.0,Food Service Related;Food Service Related,10:00,22:00,Orange Hotel Nanchang Honggutan Times Square Hotel,"115.867000,28.699400",28.699400,115.867000,4.4
Jinxi Home (Causeway Bay Branch),Nanchang,28.700108,115.868188,26.0,Foreign Restaurant;韩国料理,10:00,21:00,Orange Hotel Nanchang Honggutan Times Square Hotel,"115.867000,28.699400",28.699400,115.867000,4.0
Issho Sukiyaki (Nanchang T16 Shopping Center Branch),Nanchang,28.700575,115.867675,194.0,Foreign Restaurant;Japanese Cuisine,17:00,21:30,Orange Hotel Nanchang Honggutan Times Square Hotel,"115.867000,28.699400",28.699400,115.867000,4.5
Zhengwei Restaurant,Nanchang,28.999457,115.910318,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Xiangshan Forest Park,"115.966089,28.951573",28.951573,115.966089,3.8
Old Place Restaurant,Nanchang,28.996346,115.905953,100.0,Chinese Restaurant;Chinese Restaurant,12:00,19:00,Xiangshan Forest Park,"115.966089,28.951573",28.951573,115.966089,3.7
Jianhua Restaurant (S509 Branch),Nanchang,29.010993,115.913387,57.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Xiangshan Forest Park,"115.966089,28.951573",28.951573,115.966089,4.1
Yunlin Mountain Hotel · Meihu Chinese Restaurant,Nanchang,28.607862,115.912846,73.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyunpu Taoist Temple,"115.916642,28.604789",28.604789,115.916642,3.9
Ink Fragrance Restaurant,Nanchang,28.602499,115.911372,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyunpu Taoist Temple,"115.916642,28.604789",28.604789,115.916642,3.4
Wu's Eatery (Hongling Building Branch),Nanchang,28.613977,115.907696,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyunpu Taoist Temple,"115.916642,28.604789",28.604789,115.916642,3.7
Sister Xiong Restaurant,Nanchang,28.607440,115.930285,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyunpu Taoist Temple,"115.916642,28.604789",28.604789,115.916642,2.9
Jiaxing Restaurant,Nanchang,28.617213,115.913810,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyunpu Taoist Temple,"115.916642,28.604789",28.604789,115.916642,3.8
